,0
장범준,잠이 오질 않네요
조정석,좋아좋아
태연 (TAEYEON),Weekend
방탄소년단,Life Goes On
MSG워너비(M.O.M),바라만 본다
aespa,Black Mamba
이무진,비와 당신
Ed Sheeran(에드 시런),Bad Habits
TWICE (트와이스),Alcohol-Free
SG워너비,해바라기
DAY6 (Even of Day),뚫고 지나가요
브레이브걸스(Brave Girls),운전만해 (We Ride)
빅마마(Big Mama),하루만 더
오마이걸(OH MY GIRL),Dolphin
MSG워너비,난 너를 사랑해
헤이즈(Heize),헤픈 우연
MSG워너비(정상동기),나를 아는 사람
The Kid LAROI,Stay
조이 (JOY),좋을텐데 (If Only) (Feat. 폴킴)
Justin Bieber(저스틴 비버),Off My Face
STAYC(스테이씨),ASAP
에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래 (Feat. Colde)
"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",상상더하기
ITZY (있지),마.피.아. In the morning
원슈타인,밤이 되니까
김대명,가을 우체국 앞에서
아이유(IU),밤편지
라붐(LABOUM),아로아로
San E(산이),한여름밤의 꿀 : 다시 여름
로꼬,러브 (Prod. 로코베리)
2PM,우리집
백지영,다시 사랑할 수 있을까
전소연,삠삠 (BEAM BEAM)
디핵(D-Hack),OHAYO MY NIGHT
호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
브라운 아이즈(Brown Eyes),벌써 일년
Doja Cat(도자 캣),Kiss Me More (feat. SZA)
Peder Elias,Loving You Girl (feat. Hkeem)
The Weeknd(위켄드),Save Your Tears (Remix)
NCT DREAM,Hello Future
Marshmello(마시멜로),Leave Before You Love Me
프로미스나인,WE GO
송이한,밝게 빛나는 별이 되어 비춰줄게
청하,내 입술 따뜻한 커피처럼
로제(ROSÉ),On The Ground
Maroon 5(마룬 파이브),Beautiful Mistakes
폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
BLACKPINK,Lovesick Girls
John K,parachute
세븐틴(SEVENTEEN),Ready to love
Jawsh 685,Savage Love (Laxed - Siren Beat) (BTS Remix)
ASH ISLAND,잡아줄게 (Prod. GroovyRoom)
Anne-Marie(앤 마리),2002
런치,Way Back Home (2021)
AKMU (악동뮤지션),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
오반 (OVAN),허리춤
경서예지,다정히 내 이름을 부르면
Pink Sweat$,At My Worst
딘딘 (DINDIN),사랑하지 말걸 그랬나 봐요
10CM,서울의 잠 못 이루는 밤 (Feat. 이수현)
Bruno Mars(브루노 마스),Leave The Door Open
다비치,그냥 안아달란 말야
PATEKO (파테코),"Rainy day (Feat. ASH ISLAND, Skinny Brown)"
임영웅,한잔의 인생
경서,밤하늘의 별을(2020)
정동원,바보같은 사람
Sam Ryder,Tiny Riot
이달의 소녀,PTT (Paint The Town)
